	Unnamed: 0.1	Unnamed: 0	Run_ID	Chl	TSM	a_440_cdom	T	S	theta	phi	Chl_comp_1	Chl_comp_2	Bp	Bm	a_440_p	a_440_m	b_440_p	b_440_m	400	412.5	442.5	490	510	560	620	665	673.75	681.25	708.75	753.75	761.25	764.38	767.5	778.75	865	885	900	940	1020
77	77	77	20107	2.8	0.9	0.128	20	0	30	30	1	4	0.0069999999999999	0.035	0.205	0.055	0.71	0.246	0.0017414	0.0017045	0.0017221	0.0024534	0.0026124	0.0032558	0.0012748	0.0007624	0.0006871	0.0006787999999999	0.0004704	0.0001375999999999	0.0001413	0.0001409999999999	0.0001438	0.0001549	6.459999999999997e-05	5.379999999999999e-05	4.33e-05	9.8e-06	9.2e-06
78	78	78	20108	115.0	0.2	0.286	30	10	40	60	1	4	0.002	0.003	3.247	0.012	7.107	0.1369999999999999	0.0002525	0.0002189	0.0001876	0.0002728	0.0003206	0.0006213999999999	0.0003992	0.0001952	0.00015	0.0001686	0.0004312	0.0001264	0.0001266	0.0001276	0.0001294	0.0001437	5.62e-05	4.7e-05	4.07e-05	7.000000000000002e-06	9.2e-06
80	80	80	20110	5.5	0.8	0.118	0	15	80	0	1	5	0.006	0.01	0.194	0.049	1.079	0.6559999999999999	0.0018744	0.0018158	0.0017874	0.0024184	0.0025285	0.0027724	0.0012567	0.0007078	0.0006339	0.0006184999999999	0.0004436	0.0001334	0.0001264999999999	0.0001268	0.0001245	0.0001334	5.56e-05	4.73e-05	4.02e-05	1.01e-05	8.400000000000001e-06
81	81	81	20111	4.2	0.08	0.292	10	10	50	30	1	3	0.006	0.001	0.14	0.005	0.913	0.076	0.0005327	0.0005886	0.00075	0.0012139	0.0013949	0.0017697	0.0005838999999999	0.000321	0.0002929	0.0002837	0.0001905	5.23e-05	5.260000000000001e-05	5.45e-05	5.06e-05	5.58e-05	2.42e-05	1.77e-05	1.58e-05	3.4e-06	2.4e-06
85	85	85	20116	1.2	0.7	0.124	20	10	50	60	1	3	0.009	0.01	0.122	0.043	0.42	0.574	0.0015445	0.0015782	0.0016973	0.0023635	0.0025225	0.002901	0.0009629	0.0005673	0.0005139	0.0005011	0.0003236	9.52e-05	9.51e-05	9.07e-05	9.54e-05	0.0001057	4.05e-05	3.19e-05	3.1e-05	5.9e-06	5.6e-06
98	98	98	20132	62.0	3.9	0.196	20	30	50	45	1	3	0.003	0.02	1.17	0.24	4.845	2.131	0.0016173	0.0015783	0.0015745	0.0023538	0.0029238	0.0055568999999999	0.0031792	0.0015389	0.0012666	0.0013528	0.0019184	0.0005611	0.0005587999999999	0.000559	0.0005713	0.0006198	0.0002571	0.0002169	0.0001927	4.42e-05	3.88e-05
101	101	101	20137	130.0	4.2	0.168	30	25	60	45	1	3	0.002	0.04	14.902	0.258	7.667999999999998	1.148	0.0002337	0.0002035	0.000176	0.0002475	0.0003098	0.0006683	0.0005282	0.0002157	0.0001645	0.0001872	0.0018784	0.0006042999999999	0.0006150999999999	0.0006189	0.000634	0.0007022	0.0002832	0.0002445	0.0002159	4.33e-05	4.48e-05
102	102	102	20138	2.5	1.4	0.294	5	10	60	30	1	5	0.0069999999999999	0.01	0.217	0.086	0.662	1.339	0.0010535	0.0011549	0.0014351	0.0023997	0.0027301	0.003534	0.0017309	0.0009777	0.000872	0.0008552	0.0006191	0.0001835	0.0001799	0.0001805	0.000179	0.0001929	8.45e-05	6.77e-05	5.89e-05	1.4499999999999997e-05	1.0800000000000003e-05
103	103	103	20139	5.2	0.7	0.216	20	20	30	30	1	3	0.006	0.012	0.162	0.043	1.042	0.478	0.0012562	0.001293	0.0014216	0.0020284	0.0022634	0.002906	0.0011229	0.0006552	0.0005984	0.000586	0.0003998	0.0001161	0.0001184	0.0001174	0.0001158	0.0001268	4.870000000000001e-05	4.68e-05	3.79e-05	7.9e-06	7.400000000000001e-06
111	111	111	20150	0.9	1.4	0.288	5	25	50	30	1	3	0.009	0.012	0.042	0.086	0.351	1.148	0.0012345999999999	0.0014234	0.0020065	0.0035441	0.0040588	0.0049511	0.0018112	0.001086	0.0010115	0.0009625	0.0005935	0.0001754	0.0001725	0.0001699	0.0001723	0.0001832	7.52e-05	6.159999999999999e-05	5.600000000000001e-05	1.39e-05	1.0800000000000003e-05
124	124	124	20168	3.1	0.4	0.12	20	5	40	45	1	5	0.0069999999999999	0.01	0.114	0.025	0.7559999999999999	0.273	0.001262	0.0013705	0.0016512	0.002599	0.0026408	0.0026487	0.0008577999999999	0.0004868	0.0004445	0.0004311	0.0002706	7.87e-05	7.69e-05	7.77e-05	7.8e-05	8.859999999999999e-05	3.21e-05	2.98e-05	2.68e-05	5.9e-06	6e-06
133	133	133	20181	1.6	0.3	0.158	15	20	30	15	1	2	0.008	0.02	0.101	0.018	0.502	0.0819999999999999	0.0011485999999999	0.0011602	0.0012117	0.0015898	0.0016031	0.0016691	0.0006123	0.0003546999999999	0.000325	0.0003132	0.0002008	5.479999999999999e-05	5.770000000000001e-05	5.7e-05	5.6600000000000014e-05	6.27e-05	2.65e-05	2.09e-05	1.7100000000000002e-05	2.1e-06	3.700000000000001e-06
134	134	134	20182	0.52	0.04	0.128	5	20	40	0	1	5	0.01	0.001	0.036	0.003	0.25	0.022	0.0012265999999999	0.0012274	0.0012511	0.001426	0.0013168	0.0010801	0.0003417	0.0001906	0.0001763	0.0001683	9.85e-05	2.7e-05	2.46e-05	2.7399999999999995e-05	2.84e-05	2.95e-05	9e-06	1.04e-05	8.400000000000001e-06	7e-07	1.9e-06
147	147	147	20196	3.7	0.7	0.1639999999999999	5	10	40	0	1	3	0.006	0.01	0.147	0.043	0.8440000000000001	0.574	0.0013189	0.0013725	0.0015478	0.0022753	0.0025338	0.0031104	0.0010885	0.0006162	0.0005542	0.0005397	0.0003689	0.0001097	0.0001066	0.0001064	0.0001093	0.000113	4.39e-05	3.61e-05	3.34e-05	6.8e-06	6.6e-06
